scenario,trial,seed,start_x,start_y,start_z,goal_x,goal_y,goal_z,unc_mass,unc_inertia,unc_thrust,unc_yaw_coeff,time_step,time_sec,x,y,z,effective_mass_scale,effective_inertia_scale,effective_thrust_scale,effective_yaw_coeff_scale
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,408,1.7,1.257005407910044,1.9383836749841166,1.312772566619843,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,432,1.8,1.2722738965619258,1.9957953825438832,1.3136057399772652,1.3258878252537856,1.0,1.0,1.0
mass_only,2,1339998021,1.0177565050757096,1.0381798819170358,1.2147309032036058,1.3,2.1,1.4,1.3258878252537856,1.0,1.0,1.0,456,1.9,1.2859599529946306,2.0472488535388256,1.3146731895949009,1.3258878252537856,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,0,0.0,1.314942489464833,0.2829488417575125,0.916717740729848,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,24,0.1,1.314939013155111,0.2834332590830503,0.9548208423711569,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,48,0.2,1.314883538784405,0.28967933636953463,1.0100269046985204,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,72,0.3,1.3147162943367678,0.307980532104752,1.0574116949472974,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,96,0.4,1.3144000381772523,0.34244308435763793,1.0977722777007421,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,120,0.5,1.3139206500157743,0.39471886934312755,1.1314983282483915,1.2891474420878757,1.0,1.0,1.0
mass_only,3,337813862,1.314942489464833,0.2829488417575125,0.916717740729848,1.3,2.1,1.4,1.2891474420878757,1.0,1.0,1.0,144,0.6,1.3132784415848695,0.4649975319320054,1.1604948472668528,1.2891474420878757,1.0,1.0,1.0
